ปี,เดือน,จังหวัด,ปริมาณฝน
2526,ก.พ.,พะเยา,0.36
2526,มี.ค.,พะเยา,4.21
2526,เม.ย.,พะเยา,61.29
2526,พ.ค.,พะเยา,236.2
2526,มิ.ย.,พะเยา,129.9
2526,ก.ค.,พะเยา,231.91
2526,ส.ค.,พะเยา,265.87
2526,ก.ย.,พะเยา,194.32
2526,ต.ค.,พะเยา,130.95
2526,พ.ย.,พะเยา,91.68
2526,ธ.ค.,พะเยา,9.44
2527,ม.ค.,พะเยา,0.0
2527,ก.พ.,พะเยา,28.35
2527,มี.ค.,พะเยา,3.12
2527,เม.ย.,พะเยา,115.1
2527,พ.ค.,พะเยา,162.26
2527,มิ.ย.,พะเยา,113.37
2527,ก.ค.,พะเยา,158.77
2527,ส.ค.,พะเยา,291.35
2527,ก.ย.,พะเยา,220.84
2527,ต.ค.,พะเยา,119.76
2527,พ.ย.,พะเยา,4.12
2527,ธ.ค.,พะเยา,0.0
2528,ม.ค.,พะเยา,3.32
2528,ก.พ.,พะเยา,0.25
2528,มี.ค.,พะเยา,1.45
2528,เม.ย.,พะเยา,130.48
2528,พ.ค.,พะเยา,196.68
2528,มิ.ย.,พะเยา,118.39
2528,ก.ค.,พะเยา,159.24
2528,ส.ค.,พะเยา,242.5
2528,ก.ย.,พะเยา,150.78
2528,ต.ค.,พะเยา,100.64
2528,พ.ย.,พะเยา,139.38
2528,ธ.ค.,พะเยา,0.0
2529,ม.ค.,พะเยา,0.0
2529,ก.พ.,พะเยา,0.71
2529,มี.ค.,พะเยา,1.06
2529,เม.ย.,พะเยา,159.48
2529,พ.ค.,พะเยา,152.97
2529,มิ.ย.,พะเยา,108.68
2529,ก.ค.,พะเยา,154.53
2529,ส.ค.,พะเยา,160.71
2529,ก.ย.,พะเยา,160.91
2529,ต.ค.,พะเยา,85.11
2529,พ.ย.,พะเยา,33.6
2529,ธ.ค.,พะเยา,34.74
2530,ม.ค.,พะเยา,0.03
2530,ก.พ.,พะเยา,8.26
2530,มี.ค.,พะเยา,25.78
2530,เม.ย.,พะเยา,98.07
2530,พ.ค.,พะเยา,102.76
2530,มิ.ย.,พะเยา,114.0
2530,ก.ค.,พะเยา,101.39
2530,ส.ค.,พะเยา,320.93
2530,ก.ย.,พะเยา,265.98
2530,ต.ค.,พะเยา,76.25
2530,พ.ย.,พะเยา,55.61
2530,ธ.ค.,พะเยา,0.0
2531,ม.ค.,พะเยา,4.37
2531,ก.พ.,พะเยา,10.17
2531,มี.ค.,พะเยา,4.43
2531,เม.ย.,พะเยา,174.31
2531,พ.ค.,พะเยา,203.1
2531,มิ.ย.,พะเยา,206.7
2531,ก.ค.,พะเยา,166.38
2531,ส.ค.,พะเยา,224.79
2531,ก.ย.,พะเยา,139.25
2531,ต.ค.,พะเยา,132.47
2531,พ.ย.,พะเยา,39.45
2531,ธ.ค.,พะเยา,0.2
