ปี,เดือน,ปริมาณฝน,จังหวัด
2525,มิ.ย.,95.56,ลำปาง
2525,ก.ค.,72.11,ลำปาง
2525,ส.ค.,127.48,ลำปาง
2525,ก.ย.,285.17,ลำปาง
2525,ต.ค.,85.41,ลำปาง
2525,พ.ย.,8.53,ลำปาง
2525,ธ.ค.,0.09,ลำปาง
2526,ม.ค.,5.04,ลำปาง
2526,ก.พ.,0.04,ลำปาง
2526,มี.ค.,0.91,ลำปาง
2526,เม.ย.,21.8,ลำปาง
2526,พ.ค.,163.99,ลำปาง
2526,มิ.ย.,90.64,ลำปาง
2526,ก.ค.,152.8,ลำปาง
2526,ส.ค.,170.54,ลำปาง
2526,ก.ย.,229.06,ลำปาง
2526,ต.ค.,196.35,ลำปาง
2526,พ.ย.,88.7,ลำปาง
2526,ธ.ค.,7.39,ลำปาง
2527,ม.ค.,0.1,ลำปาง
2527,ก.พ.,22.08,ลำปาง
2527,มี.ค.,0.55,ลำปาง
2527,เม.ย.,79.55,ลำปาง
2527,พ.ค.,123.97,ลำปาง
2527,มิ.ย.,127.38,ลำปาง
2527,ก.ค.,105.21,ลำปาง
2527,ส.ค.,188.77,ลำปาง
2527,ก.ย.,192.91,ลำปาง
2527,ต.ค.,126.97,ลำปาง
2527,พ.ย.,10.13,ลำปาง
2527,ธ.ค.,0.0,ลำปาง
2528,ม.ค.,2.38,ลำปาง
2528,ก.พ.,0.42,ลำปาง
2528,มี.ค.,1.36,ลำปาง
2528,เม.ย.,93.39,ลำปาง
2528,พ.ค.,178.37,ลำปาง
2528,มิ.ย.,84.62,ลำปาง
2528,ก.ค.,88.76,ลำปาง
2528,ส.ค.,101.27,ลำปาง
2528,ก.ย.,211.89,ลำปาง
2528,ต.ค.,144.41,ลำปาง
2528,พ.ย.,129.26,ลำปาง
2528,ธ.ค.,0.0,ลำปาง
2529,ม.ค.,0.0,ลำปาง
2529,ก.พ.,0.55,ลำปาง
2529,มี.ค.,1.7,ลำปาง
2529,เม.ย.,102.98,ลำปาง
2529,พ.ค.,169.12,ลำปาง
2529,มิ.ย.,125.01,ลำปาง
2529,ก.ค.,134.43,ลำปาง
2529,ส.ค.,157.01,ลำปาง
2529,ก.ย.,158.52,ลำปาง
2529,ต.ค.,129.86,ลำปาง
2529,พ.ย.,25.03,ลำปาง
2529,ธ.ค.,18.93,ลำปาง
2530,ม.ค.,0.0,ลำปาง
2530,ก.พ.,13.99,ลำปาง
2530,มี.ค.,28.35,ลำปาง
2530,เม.ย.,72.16,ลำปาง
2530,พ.ค.,65.77,ลำปาง
2530,มิ.ย.,159.78,ลำปาง
2530,ก.ค.,79.82,ลำปาง
2530,ส.ค.,293.6,ลำปาง
2530,ก.ย.,227.76,ลำปาง
2530,ต.ค.,59.24,ลำปาง
2530,พ.ย.,82.25,ลำปาง
2530,ธ.ค.,0.0,ลำปาง
2531,ม.ค.,1.62,ลำปาง
2531,ก.พ.,7.64,ลำปาง
2531,มี.ค.,0.83,ลำปาง
2531,เม.ย.,111.02,ลำปาง
