ปี,เดือน,ปริมาณฝน,จังหวัด
2566,ธ.ค.,3.63,ลำปาง
2567,ม.ค.,3.22,ลำปาง
2567,ก.พ.,1.91,ลำปาง
2567,มี.ค.,22.81,ลำปาง
2567,เม.ย.,29.54,ลำปาง
2567,พ.ค.,180.96,ลำปาง
2567,มิ.ย.,114.66,ลำปาง
2567,ก.ค.,183.09,ลำปาง
2567,ส.ค.,257.87,ลำปาง
2567,ก.ย.,305.19,ลำปาง
2567,ต.ค.,145.6,ลำปาง
2567,พ.ย.,26.53,ลำปาง
2567,ธ.ค.,10.76,ลำปาง
2568,ม.ค.,0.0,ลำปาง
2568,ก.พ.,12.48,ลำปาง
2568,มี.ค.,2.11,ลำปาง
2568,เม.ย.,100.5,ลำปาง
2568,พ.ค.,292.84,ลำปาง
2568,มิ.ย.,94.67,ลำปาง
2568,ก.ค.,210.45,ลำปาง
2568,ส.ค.,215.4,ลำปาง
2568,ก.ย.,213.35,ลำปาง
2568,ต.ค.,102.31,ลำปาง
2568,พ.ย.,158.22,ลำปาง
2568,ธ.ค.,3.64,ลำปาง
